id;produto_id;DesPro;DesGru;PcoVen;PcoProm;QntProm;ativo;ordem;data_criacao;destaque
3121;3107;SACO HOT DOG SABOR F.C/50;DESCARTAVEL;3,99;0,99;5;1;3107;46156,94226;0
3126;3112;PAPEL SEDA PARA BALA - PINK;DESCARTAVEL;2,3;0,99;5;1;3112;46156,94226;0
3127;3113;PAPEL BALA SEDA SABOR AZUL C 48;DESCARTAVEL;2,3;0,99;5;1;3113;46156,94226;0
3128;3114;PAPEL BALA SABOR VERMELHO 48UN;DESCARTAVEL;2,3;0,99;5;1;3114;46156,94226;0
3129;3115;PAPEL BALA SEDA SABOR VERDE C 48;DESCARTAVEL;2,3;0,99;5;1;3115;46156,94226;0
3162;3148;ESCOVA P/UNHAS ROSSI 3020;LIMPEZA;5,89;0,99;5;1;3148;46156,94226;0
3233;3219;ORGANIZADOR DE PVC;UTILIDADES;24,3;0,99;5;1;3219;46156,94226;0
3233;3219;ORGANIZADOR DE PVC;UTILIDADES;24,3;0,99;5;1;3219;46156,94226;0
3251;3237;PALHA DE ACO BRILLO N.2 25G;UTILIDADES;1,99;0,99;5;1;3237;46156,94226;0
3350;3336;ESPETO BAMBU PARANA 18CM C/50;MERCEARIA;2,89;0,99;5;1;3336;46156,94226;0
3353;3339;PALITO DE DENTE GABOARDI;DESCARTAVEL;1,99;0,99;5;1;3339;46156,94226;0
3355;3341;SACO ASSAMAIS LIFE CLEAN 27X41;DESCARTAVEL;6,49;0,99;5;1;3341;46156,94226;0
3355;3341;SACO ASSAMAIS LIFE CLEAN 27X41;DESCARTAVEL;6,49;0,99;5;1;3341;46156,94226;0
3355;3341;SACO ASSAMAIS LIFE CLEAN 27X41;DESCARTAVEL;6,49;0,99;5;1;3341;46156,94226;0
3355;3341;SACO ASSAMAIS LIFE CLEAN 27X41;DESCARTAVEL;6,49;0,99;5;1;3341;46156,94226;0
3373;3359;MARIOLA 60G;BOMBONIERE;1,5;0;0;0;3359;46156,94226;0
3417;3403;LAMINA WILKINSON;HIGIENE PESSOAL;2,99;0,99;5;1;3403;46156,94226;0
3438;3424;BALA HORTELA DORI 10G;BOMBONIERE;0,2;0;0;0;3424;46156,94226;0
3439;3425;PALITO DE UNHA;HIGIENE PESSOAL;0,5;0,99;5;1;3425;46156,94226;0
3488;3474;VASSOURA SOUZA N3 PIACAVA;LIMPEZA;19,99;0;0;0;3474;46156,94226;0
4144;4130;PAPEL SEDA BRANCO C/48;DESCARTAVEL;2,3;0,99;5;1;4130;46156,94226;0
4204;4190;FORMA DE GELO JAGUAR 14 CAVIDADES;UTILIDADES;8,99;0,99;5;1;4190;46156,94226;0
4259;4245;DESUMIDIFICADOR SECAR KIDS 180G;LIMPEZA;9,65;0,99;5;1;4245;46156,94226;0
4374;4360;LAPIS MULTICOLOR GRAFITE N2;PAPELARIA;0,75;0,99;5;1;4360;46156,94226;0
4452;4438;CANETA BIC CRISTAL VERMELHA;PAPELARIA;1,99;0,99;5;1;4438;46156,94226;0
4559;4545;AVENTAL BRANCO 28,5X19CM;UTILIDADES;32,9;0,99;5;1;4545;46156,94226;0
